train_id,priority
T14,0
T14,0
T14,0
T14,0
T15,0
T15,0
T15,1
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,0
T15,1
T15,0
T15,0
T15,0
T15,0
T15,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T16,1
T16,0
T16,0
T16,0
T16,0
T16,0
T16,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T17,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,0
T18,1
T18,0
T18,0
T18,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,1
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T19,0
T20,1
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T20,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,1
T21,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,0
T21,1
T21,0
T21,0
T21,0
T21,1
T21,0
T21,0
T21,0
T21,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,1
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,0
T22,1
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,1
T23,1
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,0
T23,1
T23,1
T24,0
T24,0
T24,0
T24,0
T24,0
T24,0
T24,0
T24,1
T24,0
T24,0
T24,0
T24,0
T24,0
T24,0
T24,0
T24,1
T24,0
T24,0
T24,0
T24,0
T24,1
T24,0
T24,0
T24,0
T24,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,1
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T25,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,1
T26,1
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T26,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,1
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T27,0
T28,0
T28,0
T28,1
T28,1
T28,1
T28,0
T28,1
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T28,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,0
T29,1
T29,0
T29,1
T29,0
T29,0
T29,0
T29,0
T29,0
T29,1
T29,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,0
T30,1
T30,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,0
T31,1
T31,1
T31,0
T31,0
T31,0
T31,1
T31,0
T31,1
T31,0
T31,0
T31,0
T31,0
T31,0
T32,1
T32,1
T32,1
T32,0
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T32,1
T33,0
T33,1
T33,0
T33,0
T33,1
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,1
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T33,0
T34,0
T34,1
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,1
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T34,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T35,0
T36,1
T36,1
T36,0
T36,0
T36,0
T36,1
T36,0
T36,1
T36,1
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,0
T36,1
T36,0
T37,0
T37,0
T37,1
T37,0
T37,1
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,1
T37,1
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T37,0
T38,0
T38,0
T38,1
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,0
T38,1
T38,0
T38,1
T38,0
T38,0
T38,0
T39,0
T39,0
T39,0
T39,1
T39,0
T39,0
T39,1
T39,0
T39,0
T39,1
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T39,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,1
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,0
T40,1
T40,0
T40,0
T40,0
